geoid,name,total_population,total_population_25_over,median_income,median_home_value,educational_attainment,white_alone,black_alone,native_alone,asian_alone,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,city,metro_area,total_population_25_under,proportion_25_under
11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",4000,2202.0,38107.0,255700.0,173.0,32.0,3751.0,0.0,55.0,0.0,0.0,23.0,139.0,Washington,Washington-Arlington-Alexandria,1798.0,0.4495
11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",2509,1837.0,156042.0,655000.0,1426.0,1486.0,809.0,0.0,37.0,0.0,8.0,86.0,83.0,Washington,Washington-Arlington-Alexandria,672.0,0.26783579115185335
11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",2169,1519.0,37981.0,297800.0,250.0,62.0,2104.0,0.0,0.0,0.0,0.0,0.0,3.0,Washington,Washington-Arlington-Alexandria,650.0,0.29967727063162747
11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",4078,2914.0,51949.0,514100.0,1105.0,950.0,2764.0,40.0,22.0,0.0,88.0,68.0,156.0,Washington,Washington-Arlington-Alexandria,1164.0,0.28543403629230013
11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",3470,2733.0,116641.0,678700.0,2012.0,2047.0,1004.0,0.0,79.0,0.0,0.0,52.0,288.0,Washington,Washington-Arlington-Alexandria,737.0,0.21239193083573488
11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",2751,2170.0,72292.0,437700.0,1219.0,712.0,1559.0,0.0,131.0,0.0,11.0,63.0,275.0,Washington,Washington-Arlington-Alexandria,581.0,0.21119592875318066
11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",2567,1496.0,29428.0,313600.0,266.0,44.0,2497.0,0.0,0.0,0.0,0.0,5.0,21.0,Washington,Washington-Arlington-Alexandria,1071.0,0.41721854304635764
11001009400,"Census Tract 94, District of Columbia, District of Columbia",4917,3614.0,97804.0,498000.0,1521.0,710.0,3782.0,0.0,49.0,0.0,19.0,78.0,279.0,Washington,Washington-Arlington-Alexandria,1303.0,0.2649989831197885
11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",7659,3550.0,48395.0,361800.0,1014.0,1933.0,3469.0,15.0,260.0,5.0,0.0,67.0,1910.0,Washington,Washington-Arlington-Alexandria,4109.0,0.5364930147538843
11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",1623,1145.0,44357.0,217500.0,159.0,2.0,1555.0,0.0,8.0,0.0,0.0,26.0,32.0,Washington,Washington-Arlington-Alexandria,478.0,0.2945163277880468
11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",2773,1674.0,31426.0,185300.0,187.0,0.0,2761.0,0.0,0.0,0.0,0.0,12.0,0.0,Washington,Washington-Arlington-Alexandria,1099.0,0.39632167327803824
11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",3147,2694.0,87083.0,544100.0,1767.0,1243.0,639.0,30.0,336.0,0.0,6.0,109.0,784.0,Washington,Washington-Arlington-Alexandria,453.0,0.14394661582459486
11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",3314,2280.0,64792.0,377400.0,901.0,245.0,2701.0,0.0,0.0,0.0,0.0,79.0,289.0,Washington,Washington-Arlington-Alexandria,1034.0,0.312009656004828
11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",3081,1887.0,26306.0,282800.0,142.0,0.0,3064.0,9.0,0.0,0.0,0.0,8.0,0.0,Washington,Washington-Arlington-Alexandria,1194.0,0.3875365141187926
11001000300,"Census Tract 3, District of Columbia, District of Columbia",6374,4243.0,133008.0,881500.0,3780.0,4935.0,467.0,0.0,513.0,0.0,0.0,164.0,295.0,Washington,Washington-Arlington-Alexandria,2131.0,0.3343269532475682
11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",3318,2808.0,71671.0,286800.0,2079.0,2283.0,189.0,20.0,319.0,0.0,67.0,94.0,366.0,Washington,Washington-Arlington-Alexandria,510.0,0.15370705244122965
11001001500,"Census Tract 15, District of Columbia, District of Columbia",6077,4091.0,205159.0,977200.0,3532.0,4940.0,454.0,0.0,88.0,0.0,0.0,132.0,463.0,Washington,Washington-Arlington-Alexandria,1986.0,0.3268059897975975
11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",5668,3843.0,42579.0,450900.0,1079.0,258.0,3624.0,0.0,125.0,0.0,0.0,14.0,1647.0,Washington,Washington-Arlington-Alexandria,1825.0,0.3219830628087509
11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",3625,2640.0,118750.0,538000.0,1228.0,897.0,1851.0,0.0,78.0,0.0,30.0,153.0,616.0,Washington,Washington-Arlington-Alexandria,985.0,0.2717241379310345
11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",3138,2378.0,59141.0,666700.0,958.0,778.0,1355.0,0.0,46.0,0.0,11.0,64.0,884.0,Washington,Washington-Arlington-Alexandria,760.0,0.24219247928616955
11001006600,"Census Tract 66, District of Columbia, District of Columbia",2036,1664.0,134911.0,1022300.0,1465.0,1651.0,48.0,64.0,106.0,0.0,0.0,89.0,78.0,Washington,Washington-Arlington-Alexandria,372.0,0.18271119842829076
11001004400,"Census Tract 44, District of Columbia, District of Columbia",5385,4807.0,166071.0,697000.0,4226.0,3611.0,992.0,0.0,263.0,0.0,0.0,191.0,328.0,Washington,Washington-Arlington-Alexandria,578.0,0.1073351903435469
11001003500,"Census Tract 35, District of Columbia, District of Columbia",5539,2425.0,87813.0,541400.0,1334.0,1024.0,3787.0,0.0,291.0,0.0,34.0,89.0,314.0,Washington,Washington-Arlington-Alexandria,3114.0,0.5621953421195162
11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",3724,3293.0,114205.0,656300.0,2904.0,2813.0,363.0,0.0,129.0,0.0,93.0,102.0,224.0,Washington,Washington-Arlington-Alexandria,431.0,0.11573576799140708
11001006700,"Census Tract 67, District of Columbia, District of Columbia",4375,3522.0,140054.0,789500.0,3121.0,3306.0,591.0,0.0,150.0,0.0,16.0,72.0,240.0,Washington,Washington-Arlington-Alexandria,853.0,0.19497142857142857
11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",3632,2015.0,21728.0,265200.0,136.0,63.0,3376.0,11.0,0.0,0.0,146.0,0.0,47.0,Washington,Washington-Arlington-Alexandria,1617.0,0.4452092511013216
11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",5314,3118.0,27003.0,264800.0,411.0,47.0,5245.0,0.0,0.0,0.0,0.0,22.0,0.0,Washington,Washington-Arlington-Alexandria,2196.0,0.41324802408731653
11001009000,"Census Tract 90, District of Columbia, District of Columbia",3523,2768.0,38088.0,399000.0,1110.0,206.0,3039.0,0.0,10.0,0.0,0.0,0.0,268.0,Washington,Washington-Arlington-Alexandria,755.0,0.21430598921373828
11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",4283,3247.0,49435.0,221400.0,1022.0,308.0,3583.0,0.0,22.0,0.0,0.0,0.0,370.0,Washington,Washington-Arlington-Alexandria,1036.0,0.24188652813448516
11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",1971,1401.0,80588.0,439600.0,668.0,397.0,1433.0,0.0,30.0,0.0,8.0,50.0,53.0,Washington,Washington-Arlington-Alexandria,570.0,0.289193302891933
11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",3680,2630.0,33228.0,278100.0,485.0,209.0,2904.0,0.0,24.0,0.0,0.0,60.0,483.0,Washington,Washington-Arlington-Alexandria,1050.0,0.28532608695652173
11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",3254,1452.0,24688.0,250000.0,115.0,2.0,2904.0,0.0,0.0,16.0,0.0,40.0,292.0,Washington,Washington-Arlington-Alexandria,1802.0,0.553779963122311
11001007200,"Census Tract 72, District of Columbia, District of Columbia",5154,4345.0,109605.0,530000.0,3550.0,3291.0,1296.0,0.0,160.0,0.0,0.0,117.0,290.0,Washington,Washington-Arlington-Alexandria,809.0,0.15696546371750097
11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",2262,1154.0,14566.0,255200.0,91.0,49.0,2139.0,0.0,26.0,0.0,0.0,0.0,48.0,Washington,Washington-Arlington-Alexandria,1108.0,0.48983200707338637
